Timestamp,What is the gift's name?,Describe the gift,What does the gift cost?,Who is the manufacturer?,What is the link where people can buy it? (This should be the URL of this item on the seller's site.),Do we have the picture yet?,What type of gift are you looking for?,Picture file name,Who is the gift for?,What kind of person are they?,Price range
11/16/2012 12:19:27,Make your own fashion show,"A great kit that lets children create and stage their own fashion shows after colouring in the models and spectators. And the poodle, of course. Does not include Anna Wintour or size-zero models. Well, the figures are very thin viewed from the side, I suppose
",14.99,Rosie Flo,http://shop.rosieflo.co.uk/product/rosie-flo-s-colouring-fashion-show,Yes,Toys,RosieFloFashionShow.jpg,"Teenager, Child","Design lover, Traditionalist",£10-25
11/16/2012 12:22:59,Sylvanian campervan,"The more time you spend looking at Sylvanian families, the more you realise that they now have a far better quality of life than you. They even have their own mansion, but for when they feel like slumming it a bit, here's a very sweet retro campervan",39.99,Sylvanian Families,http://www.sylvanianfamilies.com/product_info.php?cPath=19&products_id=1213,Yes,Toys,SylvanianCampervan.jpg,Child,Traditionalist,£25-50
11/16/2012 14:21:25,Alpaca teddy bear,A super soft teddy made from alpaca fur (ethically sourced – you can read all about it on the website),29,Toft Alpaca,http://www.thetoftalpacashop.co.uk/PD.aspx?product=ALL_SEWN_UP/READY_TO_WEAR/teddy_bears-Huacaya_Alpaca_Teddy_Bear,,Toys,Toftteddy.jpg,"Child, Baby or toddler","Traditionalist, Ethical",£25-50
11/16/2012 14:24:09,Unisex jumper,"A soft, machine-washable wool/cashmere mix, this is a lovely winter jumper. All Tootsa MacGinty clothes are made for girls and boys",33,Tootsa MacGinty,http://tootsamacginty.com/shop/holiday-jacquard-knit-jumper-duck-egg-blue/,Yes,Kids clothes,TootsaMacGinty.jpg,"Child, Baby or toddler",Traditionalist,£25-50
11/16/2012 14:36:06,Saturn jacket ,"A funky zip-up towelling jacket, this retro-tastic top will please small planet watchers and star gazers
",32,DUNS Sweden,http://www.loveitloveitloveit.co.uk/duns-sweden-navy-planet-jacket/,Yes,Kids clothes,zipplanetjacket.jpg,Child,"Outdoorsy type, Ethical",£25-50
11/16/2012 14:40:08,Play/sculpture set,"A brilliant open-ended construction kit to create creatures, monsters or abstract art. You can also use it in the bath, and all pieces are interchangeable so you can buy new kits to add on
",34,Zolo-a-go-go,http://www.toyella.com/toys/zolo/zolo-a-go-go,Yes,Toys,zoloagogo.jpg,"Teenager, Child",Design lover,£25-50
11/16/2012 14:46:17,Beano annual,"It's 75 years old this year, so introduce a new generation to the Beano or induce nostalgia in someone who has fond childhood memories of the Bash Street kids",5.99,Beano,http://shop.beano.com/products/beano-annual-2013,Yes,Stocking fillers,BeanoAnnual.jpg,"Teenager, Child",Traditionalist,Under £10
11/16/2012 14:53:24,Belle & Boo and the Goodnight Kiss,The charming tale of Belle and her toy rabbit's bedtime routine is perfect for reading out loud,10.99,Belle & Boo,http://www.belleandboo.com,Yes,Toys,Belleboobook.jpg,"Child, Baby or toddler",Traditionalist,£10-25
11/16/2012 14:55:02,Cardboard binoculars,Sweet pop-up binoculars – ideal for trying to spot Father Christmas and his reindeer in the Christmas sky,4,Moulin Roty,http://www.cottontailsbaby.co.uk/product/moulin_roty-binoculars,Yes,"Stocking fillers, Toys, Gardens",binoculars.jpg,Child,"Outdoorsy type, Traditionalist",Under £10
11/16/2012 15:06:57,Diorama kits,"A beautifully designed little kit to make your own circus or space scene – great for anyone over five
",8.99,Seedling,http://www.kidsen.co.uk/construct-a-space-diorama-create-your-own.html,Yes,"Stocking fillers, Toys, Homes/ decor, Craft, Decorations",dioramas.jpg,"Teenager, Child",Design lover,Under £10
11/16/2012 15:09:11,Chocolate coins,"Anyone who doesn't like chocolate coins probably doesn't like Christmas. (Disclaimer: if you've got an allergy, we forgive you). These are fairly traded too, for added points with Father Christmas",2.4,Divine,http://www.ethicalsuperstore.com/products/divine-chocolate/divine-fairtrade-milk-chocolate-coins/,Yes,"Stocking fillers, Food gifts",divindchoccoins.jpg,"Man, Woman, Teenager, Child, Baby or toddler, Couples",Traditionalist,Under £10
11/16/2012 15:22:49,Dr Seuss card game,"A sweet and extremely reasonably priced game ideal for stockings. You get a set of three cards, read the sentence they generate then try to act out what it describes
",2.99,Paul Lamont,http://www.pdkboardgames.co.uk/item/32898/dr--seuss-cat-in-the-hat--i-can-do-that---card-game,Yes,"Stocking fillers, Toys",DrSeusscardGame.jpg,Child,,Under £10
11/16/2012 15:26:04,Chameleon kit,All you need to create a little pipe-cleaner chameleon. For kids and chameleon-crafters from around eight years old. No upper age limit,3.5,Eeboo,http://www.iglookids.co.uk/igloo-clothing-products/brand-eeboo/eeboo-pipe-cleaner-chameleon/4207/,Yes,"Stocking fillers, Toys, Craft",Eeboo.jpg,"Teenager, Child",,Under £10
11/16/2012 15:38:46,Friendship bracelet kit,"Friendship bracelets are back – or possibly they never went away, but I just got old. Anyway, this kit contains coloured threads, beads, safety pins and instructions to get knotting. Suitable from age six up",4.99,Seedling,http://www.kindtoys.co.uk/product.php?id_product=562,Yes,"Stocking fillers, Toys, Craft, Accessories",FriendshipBracelets.jpg,"Teenager, Child",Traditionalist,Under £10
11/16/2012 15:44:20,Money box,"A sweet little tin money box – because you haven't spent enough on them already this Christmas, right?",3.5,Belle & Boo,http://booboobelle.com/product.php?id_product=78,Yes,"Stocking fillers, Homes/ decor, Decorations",hideoutmoneybox.jpg,"Child, Baby or toddler",Traditionalist,Under £10
11/16/2012 16:01:09,Skipping rope,"With gorgeous design, this good old-fashioned toy should help encourage a bit of activity to jump off an excess of Christmas sweets",6.99,Seedling,http://www.kidsen.co.uk/mushroom-skipping-rope.html,Yes,"Stocking fillers, Toys, Gardens",MushroomSkippingRope.jpg,"Child, Baby or toddler","Outdoorsy type, Traditionalist",Under £10
11/16/2012 16:04:26,Scoobits,Monster-themed reflective scooter accessories. As if a small child careering down the pavement like a pint-sized Boudicca in a slimline chariot isn't terrifying enough,3.99,Mini Micro,http://www.micro-scooters.co.uk/category/scoobitsacc/,Yes,"Stocking fillers, Toys, Gardens, Gadgets",Scoobits.jpg,"Child, Baby or toddler",Outdoorsy type,Under £10
11/16/2012 16:08:27,Shadow puppets,"A beautiful rendition of a traditional toy, with classic design appeal for all ages",12,Moulin Roty,http://www.cottontailsbaby.co.uk/product/moulin_roty_little_marvels_castle_shadows,Yes,"Stocking fillers, Craft, Decorations",shadowpuppets2.jpg,"Teenager, Child, Baby or toddler","Design lover, Traditionalist",£10-25
11/16/2012 16:13:38,Rory's story cubes,"An incredibly simple idea but hugely absorbing and clever: each of the nine little dice has (naturally) six images. You toss them all, examine the pictures and start telling a story that eventually connects them all. With over 10 million combinations, you'll never run out of inspiration",9.99,Rory's Story Cubes,http://www.thecreativityhub.com/shop,Yes,"Stocking fillers, Toys",storycubes.jpg,"Teenager, Child, Baby or toddler, Couples","Design lover, Traditionalist",Under £10
11/16/2012 16:15:20,Tiger mask,"A lovely addition to a dressing-up basket, this mask is soft and furry so will be comfortable to wear for little heads",5,Natural History Museum,https://www.nhmshop.co.uk/kids-toys-games/soft-animal-mask-tiger/product.html,Yes,"Stocking fillers, Kids clothes, Toys",Tigermask.jpg,"Child, Baby or toddler",Traditionalist,Under £10
11/16/2012 16:35:25,Leather boxing gloves,"Float like a Christmas pudding-filled butterfly, sting like a stylishly attired bee",42,Seletti,http://www.conranshop.co.uk/198301/SELETTI_LEATHER_BOXING_GLOVES/Product,Yes,"Gardens, Accessories",boxinggloves.jpg,"Man, Woman, Teenager",Outdoorsy type,£25-50
11/16/2012 16:39:43,Cycling trouser straps,"What to get the cyclist who has everything? A beautifully made leather trouser strap, which comes in a variety of lovely shades. Note: you only get one, because last time we looked, your bike only had one chain",16.11,Brooks England,http://www.brooksengland.com/catalogue-and-shop/bags/other+brooks+products/Trouser+Strap/,Yes,Accessories,brooksstraps.jpg,"Man, Woman, Teenager","Outdoorsy type, Design lover, Traditionalist",£10-25
11/16/2012 16:45:16,Online photography course,A beautiful idea from two passionate photographers: an online film and photography school with a particular slant towards enabling you to capture your children's childhood. Get properly acquainted with your camera from the comfort of your home. Do go out to take photos though. You need some fresh air. You look a bit peaky,From £55,Capturing Childhood,http://www.capturingchildhood.co.uk/courses/gift-certificates/,Yes,"Homes/ decor, Gardens, Luxury gifts, Gadgets",capturingchildhood.jpg,"Man, Woman, Couples","Outdoorsy type, Design lover, Culture vulture, Traditionalist",£50-100
11/16/2012 16:50:53,Eggling basil plant,"This little egg contains everything you need to grow basil: just crack the ceramic shell, water, and watch it grow",7.99,Noted,http://www.creativegadgets.com/gifts-c3/gifts-for-her-c5/noted-eggling-herbs-p5?utm_source=froogle&utm_medium=ppc&utm_term=noted-eggling-herbs-basil-option-basil-option-basil-eh01-01&utm_campaign=froogle#15,Yes,"Stocking fillers, Gardens",Eggling.jpg,"Man, Woman, Teenager, Child, Couples","Outdoorsy type, Ethical",Under £10
11/16/2012 16:53:28,Matchstick gardens,"Tear out a matchstick, plant it tip first in soil and – fingers crossed – you'll soon have a little plant to nurture. You can chose from a range of wildflowers",2.75,Balcony Gardener,http://www.thebalconygardener.com/shop/seeds/matchstick-gardens/,Yes,"Stocking fillers, Gardens",matchstickgardens.jpg,"Man, Woman, Teenager, Child, Baby or toddler, Couples",Outdoorsy type,Under £10
11/16/2012 16:55:37,Bird chimes,"Lovely to hang on a balcony or in a garden, these bird chimes are made under fair-trade conditions",18,Plumo,http://www.plumo.com/products/Bird-Chimes.html,Yes,"Homes/ decor, Gardens",PlumoBirdchimes.jpg,Couples,"Outdoorsy type, Traditionalist, Ethical",£10-25
11/16/2012 16:58:30,Pond dipping kit,"A great gift to get children into nature – quite literally, if they have the right welly boots on, of course. Includes a handheld magnifier for up-close-and-personal views of multiple-legged critters. Don't say we didn't warn you",20.95,National Trust,http://www.ethicalsuperstore.com/products/national-trust/national-trust-pond-dipping-kit/,Yes,"Toys, Gardens",ponddippingkit.jpg,"Teenager, Child, Baby or toddler, Couples","Outdoorsy type, Traditionalist, Ethical",£10-25
11/16/2012 17:05:38,Welly boot garden,"Sweet little ceramic welly boot in which you can plant your seeds – chose from wild strawberry, basil, mint or chamomile to encourage the development of little green fingers. As long as they wash them afterwards, of course",9.5,Rainy Day Gardens,http://www.huggle.co.uk/products/Rainy-Day-Garden.html,Yes,"Toys, Gardens",RainyDayGarden.jpg,Child,Outdoorsy type,Under £10
11/16/2012 17:07:34,Seed packets,"Not that we judge a seed by it's packet, of course, but these ones really are very beautiful … Great stocking fillers for keen gardeners (or those who love a good piece of graphic design)",3.99,Balcony Gardener,http://www.thebalconygardener.com/shop/seeds/,Yes,"Stocking fillers, Gardens",seeds.jpg,"Man, Woman, Teenager","Outdoorsy type, Ethical",Under £10
11/16/2012 17:11:06,Stainless steel water bottle,"Stylish handmade eco-friendly bottles that will last years and years
",18.95,Earthlust,http://www.ethicalsuperstore.com/products/earthlust/earthlust-stainless-steel-bottle-1l---tree/,Yes,"Gardens, Food gifts",treeflask.jpg,"Man, Woman, Teenager, Couples","Outdoorsy type, Design lover, Ethical",£10-25
11/16/2012 17:15:23,Everyman pocket classics,"We picked horse stories and those of motherhood, but there are many other classic literary compilations in the beautifully designed Everyman range",10.99,Everyman,http://www.everymanslibrary.co.uk/,Yes,Stocking fillers,books.jpg,"Man, Woman, Teenager",Traditionalist,£10-25
11/16/2012 17:22:01,Paris eraser,"For very stylish presents with a bias towards stationery, do browse the blog-shop hybrid that is nonesuchthings.com. Oo la la",2.99,Nonesuchthings,http://nonesuchthings.com/,Yes,"Stocking fillers, Stationery",eraserpar.jpg,"Man, Woman, Teenager","Design lover, Culture vulture",Under £10
11/16/2012 17:24:32,Brooch,"This is a very nice indeed Lovely pigeon brooch, so no sniping about flying rats, ok? ",4,Lovely Pigeon,http://www.lovelypigeon.com/shop/jewellery,Yes,"Jewellery, Accessories",lovelypigeon.jpg,"Woman, Teenager",Design lover,Under £10
11/16/2012 17:26:47,Retro milk bottle,"Remember the days when one of these came at morning break in a crate (and always tastes slightly on the verge of going off)? Or did Margaret Thatcher nick yours? At any rate, these nostalgic bottles are a sweet stocking filler or would look lovely in a line on a shelf",3.95,Nonesuchthings,http://nonesuchthings.com/,Yes,"Stocking fillers, Homes/ decor, Food gifts",milkbottle.jpg,"Man, Woman",Traditionalist,Under £10
11/16/2012 17:37:53,Washi tapes,"The only problem with this beautiful set of Washi (rice) paper tapes is that they are just too beautiful to actually use. Still, they'll look very stylish sitting on a shelf",19.5,Nonesuchthings,http://nonesuchthings.com/,Yes,"Homes/ decor, Stationery, Decorations",MTTapeBox.jpg,"Man, Woman",Design lover,£10-25
11/16/2012 17:40:07,Op-art notebook,"If you are struggling for ideas for someone you don't know well, a notebook is always a good fallback option. This one is a very stylish and bold geometric version from the fabulous V&A shop",10,V&A,http://www.vandashop.com/V-A-Op-Art-Notebook-AFTLE/dp/B00937UKHO,Yes,Stationery,opartnotebook.jpg,"Woman, Teenager","Design lover, Culture vulture",Under £10
11/16/2012 17:51:29,Wooden atom set,"A truly beautiful wooden building set in its own box with which you can play scientist. Alas, does not come with accompanying and immediate in-depth knowledge of chemistry, but it is fantastically cool nevertheless",60,Present & Correct,http://presentandcorrect.com/item.php?item_id=885,Yes,"Toys, Homes/ decor, Luxury gifts",presentandcorrect.jpg,"Man, Woman, Teenager",Design lover,£50-100
11/16/2012 17:54:39,Wooden pencil case,If only your pencil case had been this cool when you were at school. The laser-cut wooden boxes (the pencils aren't included but there are gorgeous ones to buy on the site) could also be used for jewellery storage or other knick-knacks,25,Present & Correct,http://presentandcorrect.com/item.php?item_id=1201,Yes,"Homes/ decor, Stationery",presentcorrect3.jpg,"Man, Woman",Design lover,£10-25
11/16/2012 17:58:30,Stylish stamps,"You don't need to be a keen philatelist to appreciate the lovely design of this sheet of 1974 Christmas stamps. From Denmark and in mint condition, naturally",42.5,Present & Correct,http://presentandcorrect.com/item.php?item_id=1438,Yes,"Homes/ decor, Stationery, Luxury gifts",presentcorrectstamp2.jpg,"Man, Woman",Design lover,£25-50
11/16/2012 18:01:13,Perpetual calendar,A calendar that will last for ever. Or at least until the end of days ,25,V&A,http://www.vandashop.com/Shop-Wooden-Perpetual-Shuffle-Calendar/dp/B009LQFUPY,Yes,Homes/ decor,shufflecalendar.jpg,"Man, Woman, Teenager","Design lover, Culture vulture, Traditionalist",£10-25
11/16/2012 18:03:03,Squirrel tape dispenser,"Very sweet wooden squirrel who will give you your tape if you give him acorns. OK, you don't actually have to give him acorns, which makes it even nicer, no?",14,Howkapow,http://www.howkapow.com/squirrel-tape-dispenser,Yes,"Homes/ decor, Stationery, Decorations",SquirrelTape.jpg,"Man, Woman, Teenager",Design lover,£10-25
11/19/2012 9:02:40,Beautiful buttons,"Fill a keen crafter's stocking with gorgeous buttons from Liberty or the V&A – the former comes in a jar with a handy pin-cushion lid, the latter are made from ceramic and feature Arts and Crafts patterns",6.95,Liberty and V&A,http://www.liberty.co.uk/fcp/product/Liberty/HABERDASHERY/Hera-Pin-Cushion-Button-Jar-Liberty-Print/72580,Yes,"Stocking fillers, Homes/ decor, Craft",buttons.jpg,"Woman, Teenager",Traditionalist,Under £10
11/19/2012 9:09:39,Clangers craft,"Give the gift of a Clanger. Or how to knit your own one, anyway. Remember Major and Mother? The Soup Dragon? Wipe away the tears of nostalgia and purchase",9.99,Anova Books,http://store.anovabooks.com/index.php/9781908449054-clangers.html,Yes,Craft,clangers.jpg,"Woman, Couples",Traditionalist,Under £10
11/19/2012 9:12:25,Padded jacket kit,"A beautiful Clothkits original, this kit contains everything you need to make up the jacket, and includes a little set of toys to go with the farm theme. If you just love the design but don't fancy the hard work, you can also buy it pre-made",30,Clothkits,http://www.clothkits.co.uk/clothkits-classic-padded-farm-jacket-ages-p-243.html,Yes,"Kids clothes, Craft",clothkitsjacket.jpg,"Child, Baby or toddler",Traditionalist,£25-50
11/19/2012 9:31:52,Dressmakers gift box,"A lovely embossed and printed box containing more beautifully presented goodies for keen dressmakers and sewers, including scissors, pins, tailor's chalk and a tape measure",42,Merchant & Mills,http://merchantandmills.com/products/notions/selected-notions-in-traditional-box/,Yes,"Craft, Luxury gifts",craftbox.jpg,"Woman, Teenager",Traditionalist,£25-50
11/19/2012 9:45:41,Sew your own fox/ tea towel,"Leave as a lovely tea towel or follow the instructions and create a sweet stuffed fox toy with just a needle, thread and some stuffing",12.5,CultureLabel.com x Maiden,http://www.culturelabel.com/sew-your-own-fox-tea-towel.html,Yes,"Homes/ decor, Food gifts, Craft",Fox_Flat.jpg,"Woman, Teenager, Child",Design lover,£10-25
11/19/2012 9:50:05,Granny gifts,"A brilliant site where you can design your own scarf or hat, then chose which granny you would like to knit it for you. Gift vouchers are available, as is a new book full of top knitting tips",From 5,Grannies Inc,http://www.granniesinc.co.uk/gift_certs.php,Yes,"Kids clothes, Craft, Accessories",GranniesInc.jpg,"Man, Woman, Teenager, Child",Traditionalist,Under £10
11/19/2012 9:53:06,Fabric,"What to get a whizz with needles or sewing machine? How about some luxury fabric. Hibou Home has some beautiful prints for children, or try Liberty's famous haberdashery department",From 48,Hibou Home,http://www.hibouhome.com/Fabrics__c-p-0-0-9.aspx,Yes,"Homes/ decor, Craft, Luxury gifts",HibouHomefabric.jpg,"Woman, Teenager, Child",Traditionalist,£25-50
11/19/2012 9:56:34,Cross stitch kits,"Cross stitch kits never used to be this stylish. What Delilah Did's designs are incredibly simple and chic – simple to look at, that is, not to make. This is the ideal gift for a crafter who has spare time and patience",45,What Delilah Did,http://www.whatdelilahdid.bigcartel.com/category/cross-stitch-kits,Yes,"Homes/ decor, Craft, Luxury gifts",magpiekit.jpg,"Woman, Teenager","Design lover, Traditionalist",£25-50
11/19/2012 10:00:04,Annual magazine subscription,"Mollie Makes magazine is a beautifully produced treasure trove of craft projects, ideas and home-decor inspiration, unlike anything else on the market. There's also a digital edition and a new iPad app, Gathered by Mollie Makes",48.49,Mollie Makes,http://www.myfavouritemagazines.co.uk/MMSW1G/,Yes,"Homes/ decor, Craft",molliemakes.jpg,Woman,Traditionalist,£25-50
11/19/2012 10:10:35,Christmas ribbon,"Stylish festive ribbons designed by illustrator Alice Pattullo exclusively for Ray Stitch. Lovely for decorating, crafting or if you are feeling flush, adorning parcels with",1.5,Alice Pattullo for Ray Stitch,http://www.raystitch.co.uk/ribbon/alice-patullo-printed-ribbon.html,Yes,"Stocking fillers, Homes/ decor, Craft, Decorations",pattuloribbon.jpg,"Woman, Teenager","Design lover, Traditionalist",Under £10
11/19/2012 10:13:14,Penguin kit,"A cute little craft kit containing everything you need to create a family of three penguins from felt and buttons. Suitable for children over six, with some grown-up help. Or just let the grownups have some fun by themselves. Does not include: fish, ice, water
",11,Buttonbag,http://www.buttonbag.co.uk/details.php?id=131,Yes,"Toys, Craft, Decorations",PenguinsButtonbag.jpg,"Child, Baby or toddler, Couples",Traditionalist,£10-25
11/19/2012 10:16:37,Rainy day craft bag,"A sweet little bag that will be thoroughly appreciated one wet, windy, wintery day. It contains crafting materials for a variety of projects, from peg dolls to beach scenes. Just apply imagination",9.95,Poppy Treffry,http://www.poppytreffry.co.uk/rainy-day-bags-for-making-not-moping,Yes,"Toys, Craft",raindaybag.jpg,"Teenager, Child, Baby or toddler, Couples",Traditionalist,Under £10
11/19/2012 10:20:22,Knit your own hat,"A luxury hat-knitting kit using super-soft alpaca wool – or, if you just love the style but couldn't knit your way out of a ball of wool, you can rent a wizard knitter to have it made up for you",31,Toft Alpaca,http://www.thetoftalpacashop.co.uk/PD.aspx?product=READY_TO_KNIT/KNITTING_KITS/hat_kits-Pom_Pom_Hat,Yes,"Craft, Accessories, Luxury gifts",toftalpacakits.jpg,"Woman, Teenager","Traditionalist, Ethical",£25-50
11/19/2012 10:24:14,Stylish knits,"Knitting kits for those of a stylish bent – these fantastic kits from Wool and the Gang contain absolutely everything you need for the individual items, from the easy to the more advanced",From 40,Wool and the Gang,http://www.woolandthegang.com/en/collections/index/type:kits/collection:/page:all/level:/cat:/style:2,Yes,"Kids clothes, Craft, Accessories, Luxury gifts",woolandthegang.jpg,"Woman, Teenager",Design lover,£25-50
11/19/2012 10:49:26,App controlled helictoper,"Possibly this is designed for kids, but they won't get a look in; it's far too enjoyable. Turn your smartphone (either iOS and Android – John Lewis has a good list of compatible phones) into an intuitive remote control and fly missions galore. Cleverly, the batteries are built in and chargeable via USB, so it won't go dead sometime on Christmas Day evening either",39.95,AppToyz,http://www.johnlewis.com/231663168/Product.aspx,Yes,"Gardens, Gadgets",AppCopter.jpg,"Man, Woman, Teenager, Child, Couples",,£25-50
11/19/2012 10:53:33,Lego campervan,"First, the technical details: it's a replica of the classic Volkswagen T1 Camper Van from 1962. The details are incredible inside and out, with everything from gear stick to folding dining table lovingly rendered. Second, and more to the point, there is nothing more enjoyable and absorbing than assembling it. Give it as a gift and you'll not hear a peep from the recipient, bar the odd request for mulled wine
",79.95,Lego,http://www.johnlewis.com/231693603/Product.aspx,Yes,"Toys, Homes/ decor, Luxury gifts, Gadgets",campervan.jpg,"Man, Woman, Teenager, Couples",Design lover,£50-100
11/19/2012 10:59:03,Personalised cases,"Giant Sparrows has a range of particularly nice, arty smartphone covers, from Frida Kahlo to Hiroshige – but you can also upload a more personal image, from family photos to a pet dog, and get it printed out ",19.99,Giant Sparrows,http://www.giantsparrows.co.uk/,Yes,"Homes/ decor, Gadgets",iphonecases.jpg,"Man, Woman, Teenager","Design lover, Traditionalist",£10-25
11/19/2012 11:04:23,Jessops Academy vouchers,"A new range of courses at Jessops, with venues all across the UK, offers instruction in all sorts of areas from DSLR and compact cameras to wedding. Great gift for an enthusiastic amateur or someone looking to take it up professionally. Or, why not try one of the Guardian's very own masterclasses in photography?
",From 119,Jessops,http://advice.jessops.com/academy.aspx,Yes,"Luxury gifts, Gadgets",jessopsvoucher.jpg,"Man, Woman, Teenager","Outdoorsy type, Design lover",+ £100
11/19/2012 11:29:19,IPad case,"Simple stylish iPad cover from Kate Sheridan's lovely range, which also includes Kindle and laptop cases in a variety of colours",19,Kate Sheridan,http://www.katesheridan.com/p435/Slate-Triangle-Grid-IPad-cover/product_info.html,Yes,"Accessories, Gadgets",katesheridanipadcase.jpg,"Man, Woman, Teenager",Design lover,£10-25
11/19/2012 11:36:04,Windproofing for microphones,"A brilliant gift for an enthusiastic amateur film-maker or dabbler, this mini muff (no sniggering at the back, thanks) will eliminate the problem of wind (stop it now) from the audio of films shot on DSLR",12.95,micromuff,http://www.micromuff.com/,Yes,Gadgets,micromuff.jpg,"Man, Woman, Teenager",Outdoorsy type,£10-25
11/19/2012 11:39:51,Nike+ FuelBand,"The Nike+ FuelBand is somewhere between an activity monitor, a pedometer and a game. It measures your everyday activity and helps you hit a goal you've set yourself – and measure up against friends. It's also a pleasingly lovely piece of design: the bracelet lights up to give you progress or just the time, and it wirelessly syncs to the app on your iOS device. Ideal for a gadget-lover who wants to get moving",129,Nike,"http://store.nike.com/gb/en_gb/?l=shop,pwp,c-300/f-787+793+1037465&cp=EUNS_KW_UK_Sportswear_Equipment_Brand",Yes,"Accessories, Gadgets",nikefuelband.jpg,"Man, Woman, Teenager",Outdoorsy type,+ £100
11/19/2012 12:08:47,Harris tweed iPad sleeve,"Hand woven, dyed and spun by islanders in the Outer Hebrides of Scotland, made from pure virgin wool. Because the best-dressed iPad deserves nothing less",55,CultureLabel.com x Breagha ,http://www.culturelabel.com/harris-tweed-pink-city-ipad-sleeve.html,Yes,"Accessories, Gadgets",pinkipadcase.jpg,"Woman, Teenager","Design lover, Traditionalist, Ethical",£50-100
11/19/2012 12:18:07,Top quality headphones,"Fantastic quality headphones at an extremely reasonable price, RHA designs and engineers all its range from its base in Glasgow. There are earphone models with remotes, but we particularly recommend the SA950i headphone model",49.95,RHA,http://www.rha-audio.com/headphones/sa950i.html,Yes,"Luxury gifts, Gadgets",RHAheadphones.jpg,"Man, Woman, Teenager","Design lover, Culture vulture",£25-50
11/19/2012 12:20:17,iPad pen,"A fantastic little stylus pen for the iPad, perfect for drawing apps but also a great chunky size for smaller hands",9.99,Scribbly,http://www.scribbly.eu/stores/page_code_forward.do?pubID=8569&pageCode=HOME_CUSTOM,Yes,"Stocking fillers, Gadgets",Scribblypens.jpg,"Man, Woman, Teenager, Child, Baby or toddler",Design lover,Under £10
11/19/2012 14:18:26,Laptop cases,"Essentially a stylish coat for your laptop (Speck also does other cases for smartphones and tablets), this case comes in a range of great fabric-backed prints",39.95,Speck,http://www.speckproducts.com/fitted-for-macbook-pro-13-freshbloom-teal.html,Yes,Gadgets,speckcase.jpg,"Man, Woman, Teenager",Design lover,£25-50
11/19/2012 14:21:29,Blinking bands,"A handy gift for a keen runner or cyclist, these bands are reflective and have four blinking lights to help nighttime visibility and safety",14,Sweaty Betty,http://www.sweatybetty.com/reflective-arm-blink-prodarmblink_fluroyellow/,Yes,"Accessories, Gadgets",sweatybettyrunningband.jpg,"Man, Woman, Teenager",Outdoorsy type,£10-25
11/19/2012 14:27:23,Iphone covers,"Lovely cases featuring designs by the talented Bristol artist Tom Frost. There are four designs celebrating British wildlife: an otter, an owl, a hare and a fox",12,Magpie,http://www.magpieline.com/product/288/wildlife-i-phone-case-hare.html,Yes,"Accessories, Gadgets",tomfrostcases.jpg,"Man, Woman, Teenager",Design lover,£10-25
11/19/2012 14:35:35,Wool jumper,Super snuggly-warm wool jumper with a cotton lining in a classic design,99,Boden,http://www.boden.co.uk/en-GB/Mens-Knitwear/MK112-MGR/Mens-Mid-Grey-Marl-Zip-through-Fair-Isle.html,Yes,"Fashion, Luxury gifts",Bodenzipjumper.jpg,Man,"Outdoorsy type, Traditionalist",£50-100
11/19/2012 14:38:40,Red clutch bag,"If you're feeling generous and want to splash out on a designer gift, these beautiful leather clutch bags from Bora Aksu are just the ticket. An expensive ticket, we grant you, but a very stylish one ",365,Bora Aksu,http://shop.boraaksu.com/collections/accessories?page=1,Yes,"Fashion, Accessories, Luxury gifts",BoraAksu.jpg,Woman,Design lover,+ £100
11/19/2012 14:41:52,Collar,A beautiful velvet-and-ruffle collar from the treasure trove that is Boticca – browse it for a huge array of great independent designers and makers selling their wares from around the world,51,Gemma Lister,http://boticca.com/gemma-lister/navy-velvet-and-ruffle-collar/,Yes,"Jewellery, Accessories, Luxury gifts",boticcacollar.jpg,Woman,Design lover,£50-100
11/19/2012 14:44:42,Roque leather bag,"A beautiful leather laptop bag built to last, and named after the most famous cafe in Buenos Aires, apparently. The same company also makes some particularly stylist weekend/overnight bags",170,Roque Bags,http://boticca.com/roquebags/tortoni-laptop-document-bags-camel/,Yes,"Fashion, Accessories, Luxury gifts",Boticcamens.jpg,Man,"Design lover, Traditionalist",+ £100
11/19/2012 14:47:10,Canary scarf,"This gorgeous silk and wool-blend scarf is from a new collection of scarves from Red Brick. The other prints are wonderful too
",60,Red Brick,http://www.redbricknorth.co.uk/Canary-Scarf,Yes,"Accessories, Luxury gifts",canaryscarf.jpg,Woman,Design lover,£50-100
11/19/2012 15:07:06,T-shirt,"A striking and oh-so-fashionable print from Capcom at the great steadyguy.co.uk, which is offering 10% off everything just for you, loyal Guardian reader. Enter the code guardian10 – it will run until 31 December 2012
",35,Capcom,http://www.steadyguy.co.uk/10Deep-Capcom-T-Shirt-White.html,Yes,Fashion,Capcomtee.jpg,"Man, Teenager",Design lover,£25-50
11/19/2012 15:14:22,Cashmere gloves,"Soft, snuggly cashmere gloves in a variety of lovely shades for men or women at a bargain price – you can't go wrong ",9.99,Gretna Green,http://www.gretnagreen.com/cashmere-gloves-b101,Yes,"Accessories, Luxury gifts",cashmeregloves.jpg,"Man, Woman, Teenager","Outdoorsy type, Traditionalist",Under £10
